공민왕, 몽골, 거란, 여진, 왕건, 문벌귀족 [노을/2] ? 고려
홍시, 연시, 곶감, 못먹는, 호랑이, 찔러보기 [철수/1] ? 감
소녀시대, 키작음, 이수만조카, 영화, 이순규, sunny [롱패딩/2] ? 써니
사과축제, 레일바이크, 에코월드, 도립공원, 공평동, 패러글라이딩 [넥스트레이드/2] ? 문경
조커, A, 2, 폭탄, 보드, -500원 [갈곳잃은개/3] ? 원카드
개그맨, 모르는데어떻게가요, 양배추, 유퀴즈, 휘성, 작은자기 [뚜비도비/3] ? 조세호
한석규, 심은하, 여름날, 사진관, 시한부, 주차단속요원 [게임보이/8] ? 팔월의크리스마스
운동, 색상, 편함, 세트, 브랜드, 엉덩이 [커피수혈/3] ? 레깅스
링크, 하이랄, 가논, 오픈월드, 모험, 퍼즐 [게임보이/5] ? 젤다의전설
제과제빵, 애니메이션, 세인트 마리, 감딸기, 스위트 요정, 투니버스 [MING/6] ? 꿈빛파티시엘
나만없어, 츄르, 부뚜막, 도도한, 반려동물, 톰과제리 [뚜비도비/3] ? 고양이
제비, 등기, 택배, 편지, 은행, 우정종국 [구운서리태/3] ? 우체국
00껌, 알록달록, 헬롭가스, oo아트, 공기주머니, 파티 [헬로키티/2] ? 풍선
다방, 노근자, 아침, 감기, 한약, 자양강장제 [뭉밍/3] ? 쌍화탕
하정우, 최민식, 조진웅, 부산사투리, 살아있네, 노태우 [신사/6] ? 범죄와의전쟁
언니, 딥플로우, VCM, 장발, 작두, 쇼미6 준우승 [지코쿠키/2] ? 넉살
이영현, 박민혜, 4인조, 거부, 여자, Break away [신뢰/3] ? 빅마마
어린이날, 설날, 삼일절, 부처님오신날, 크리스마스, 대체0O0 [MING/3] ? 공휴일
유령, 바구니, 밧줄, 퀴즈, 유령나무, 큐플레이 [갈곳잃은개/8] ? 서바이벌올라올라
소위, 중위, 대위, 소령, 중령, 중대장 [연상퀴즈/2] ? 장교
감성, 손글씨, 아날로그, 러브레터, 정성, 선물과함께 [롱패딩/2] ? 편지
에드워드오빠, 등가교환, 내인생의절반을줄게 네인생의절반을 줘, 반이 아니라 전부, 등가교환, 형재애 [유수령/7] ? 강철의연금술사
일용엄니, 안녕프란체스카, 젠틀맨, 간장게장, 헬머니, 이사벨 [MING/3] ? 김수미
시리얼, 호랑이, 후르트링, 콘푸로스트, 아침 식사, 스페셜K [Smarticluna/3] ? 켈로그
보양식, 삼계탕, 보신탕, 든든, 삼복, 삼경일 [헬로키티/2] ? 복날
휘가로, News, Dolls, WILD, Glue, Drama [airyne/5] ? 나인뮤지스
메이플스토리, 배율서버, 경험치 5배, 직장인추천, 자유단풍잎, 빠른육성 [로나최고/4] ? 로나월드
삼국사기, 삼족오, 국내성, 주몽, 광개토대왕, 연개소문 [[Vega/3] ? 고구려
가수, 맹꽁이, 패닉, 다행이다, 같이걸을까, 하늘을달리다 [짜글이/2] ? 이적
진화, 문장, 디지바이스, 찾아라비밀의열쇠, 아구몬, 파닥몬 [[희망/7] ? 디지몬어드벤처
코로나, 하이네켄, 아사히, 카스, 버드와이저, 칭따오 [멘토/2] ? 맥주
은지원, 강성훈, 폼생폼사, 커플, 장수원, 김재덕 [롱패딩/4] ? 젝스키스
타이푼, 로마공주, 노래잘함, 앤디, 우결, 화가 [오마이갓스/2] ? 솔비
아이유절친, 시크릿가든, 진심이닿다, 도깨비, 별에서온그대, 인현왕후의남자 [오마이갓스/3] ? 유인나
비투비, 막내, 서브보컬, 땡벌, 도깨비, 어막육 [태일/3] ? 육성재
배우, 쿵후팬더, 스쿨오브락, 로맨틱홀리데이, 무한도전, 마인크래프트 [쿠얘/3] ? 잭블랙
배우, 최택, 구르미그린달빛, 청춘기록, 보검복지부, 뮤직뱅크 [아라핑/3] ? 박보검
풍년, 쌀, 밭, 농사, 멸구, 논 [넥스트레이드/1] ? 벼
도둑들, 별그대, 푸튼바다의전설, 암살, 베를린, 엽기적인그녀 [화연이/3] ? 전지현
윙, 옐라이, 헬컷, 히스, 허클, 에일뮤직 [별점/7] ? 비트펠라하우스
김, 한국인은 0심, 볶음, 현미, 탄수화물, 하얀색 [KIMYEA/1] ? 밥
김은숙, 공유, 삼신할매, 육성재, 저승사자, 환생 [아라핑/3] ? 도깨비
봄, 돗자리, 꽃놀이, 도시락, 가을, 휴식 [헬로키티/2] ? 소풍
산리오, 귀여워, 고양이, 안녕, 일본, 출제자 [헬로키티/4] ? 헬로키티
CHEER UP, JYP, 우아하게, 모모, 쯔위, TT [MING/4] ? 트와이스
아일랜드, UFC, 악동, 챔피언, 인아웃스탭, 하빕 [연상퀴즈/6] ? 코너맥그리거
그날에 우리, 나비 fly away, River, 봄을 그리다, 목요일 밤, Beautiful day [늑데/5] ? 어반자카파
조승우, 김혜수, 도박, 유해진, 영화, 아귀 [롱패딩/2] ? 타짜
와인, 1971년생, 아스파라거스, 자유인, 오아시스, 언니 [넥스트레이드/3] ? 김경호
호두과자, 온양온천, 충청남도, 두정동, 독립기념관, 쌍용동 [뚜비도비/2] ? 천안
패랭이꽃, 어버이 날, 종이접기, 빨간색, 호도 선물, 편지 [Smarticluna/4] ? 카네이션
오승운, 풀잎이, 백장미, 이슬이, 원로회의파, 순간이동 [희망/7] ? 매직키드마수리
칼라거펠트, 프랑스, 뮤즈, 제니, 가브리엘 00, 넘버파이브 [믹/2] ? 샤넬
하조대, 몽돌, 경포대, 광안리, 켄싱터, 주문진 [롱패딩/2] ? 해변
새마을식당, 흑백요리사, 소유진, 백패커, 장사천재, 골목식당 [서영/3] ? 백종원
피아노, 하프시코드, 아코디언, 파이프오르간, 신디사이저, 첼레스타 [[Vega/4] ? 건반악기
과자, 고백, 막대, 11월11일, 선물, 가을 [갈곳잃은개/5] ? 빼빼로데이
애프터스쿨, 군기, 팩트폭행, 엄마는아이돌, 발리, 올라운더 [신뢰/2] ? 가희
스포츠, 스케이트, 방판, 최민정, 얼음, 심석희 [노을/4] ? 쇼트트랙
일본, 애니메이선, 윤나라, 부산땡, 학교, 코믹 [smarticluna/6] ? 아즈망가대왕
하라주쿠, 신오쿠보, 신주쿠, 시부야, 오모테산도, 기치죠지 [믹/2] ? 도쿄
15&, 싱어송라이터, 지켜줄게, 타투, 에이미와인하우스, 더발룬티어스 [믹/3] ? 백예린
어둠의 기사, 히스레저, 박쥐, 브루스 웨인, 하비 덴트, why so serious?  [한소주/5] ? 다크나이트
김수현, 김지원, 백현우, 홍해인, tvn, 드라마 [뚜비도비/5] ? 눈물의여왕
건반악기, 415Hz, 2단건반, 바로크시대, 발현악기, 르네상스 [Vega/5] ? 하프시코드
별에서온그대, 도둑들, 긴생머리, 천송이, 엽기적인그녀, 푸른바다의전설 [뚜비도비/3] ? 전지현
포도주, 이스라엘, 마리아, 축복, 성경, 교회 [갈곳잃은개/2] ? 예수
주황색, 공격력0, 판다, 예민함, 겁쟁이, 애완X [롱패딩/4] ? 레서판다
우리 은하, 태양계, 흑점, 플레어, 뜨겁다, 낮과 밤 [MING/2] ? 태양
닭, 오리, 계곡, 누룽지, 마늘, 한약재 [뭉밍/2] ? 백숙
+, 수학, 기초, *, -, / [Z/4] ? 사칙연산
조조, 유비, 관우, 장비, 동탁, 여포 [뭉밍/3] ? 삼국지
데리버거, 양념감자, 양미라, 라이스버거, 치즈스틱, 콜라 [냥/4] ? 롯데리아
바람, 불륜, 외도, 사진, 뒷조사, 미행 [뭉밍/3] ? 흥신소
여우, 꼬리 9개, 전설의 고향, 설화, 미인, 여우누이뎐 [임진록2/3] ? 구미호
설경구, 안성기, 허준호, 684, 날쏘고가라, 비겁한변명입니다 [게임보이/3] ? 실미도
까치, 세뱃돈, 친인척, 세배, 명절, 음력1월1일 [헬로키티/2] ? 설날
여배우, 여고괴담, 궁, 쌍화점, 런닝맨, 월요커플 [런닝버디/3] ? 송지효
삼고초려, 승상, 삼국지연의, 칠종칠금, 출사표, 공명 [Vega/3] ? 제갈량
페이커, 미니언, 펜타킬, 탑, 미드, 바텀 [뿌요뿌요/7] ? 리그오브레전드
종유석, 박쥐, 선사시대, 춥다, 폭포, 어두움 [임진록2/2] ? 동굴
유아, 비밀정원, 돌핀, 불꽃놀이, 지호, 아린 [15341/4] ? 오마이걸
닭, 소, 돼지, 양념, OO살, 0O뼈 [소근/2] ? 갈비
매미, 큰바람, 자연재해, 여름, 일본은방파제, 창문에X자 [롱패딩/2] ? 태풍
동물성, 식물성, 프라푸치노, 생크림, 베이킹, 케이크 [말랑이/4] ? 휘핑크림
1919, 독립, 민족, 일제, 평화, 항쟁 [게임보이/4] ? 삼일운동
과자, 젤리, 견과류, 사탕, 카라멜, 초콜렛 [뭉밍/3] ? 군것질
도, 개, 걸, 윷, 민속놀이, 빽도 [MING/3] ? 윷놀이
사람, 인류, 진화론, 지혜가있는사람, 30만년 전, 사피엔스 [MING/6] ? 호모사피엔스
김향기, 천보근, 고현정, 일본원작드라마, 마녀쌤, 샤이니 초록비 [신뢰/5] ? 여왕의교실
비비큐, 백종원, 브랜드, 요식업, 가맹점, 맥도날드 [롱패딩/5] ? 프랜차이즈
뿌웅, 변신방귀, 짜진형, 그냥그냥그냥, 빨간코, ebs [롱패딩/7] ? 방귀대장뿡뿡이
가죽, 당근, 카우보이, 벌, whip, 무기 [쿠얘/2] ? 채찍
시드니, 멜버른, 태즈매니아, 캔버라, 브리즈번, 울릉공 [로나최고/2] ? 호주
싸이, 콜라, 치킨, 엄마, 케이준감자, 만지다 [갈곳잃은개/4] ? 맘스터치
아틀란티스, 후렌치레블루선, 혜성특급, 자이로스윙, 스페인해적선, 신밧드의모험 [WISH/4] ? 롯데월드
이지아, 배용준, 주진모, 이태란, 김갑수, 유승호 [태일/5] ? 태왕사신기
터치, 애플, mp3, 3세대, 4세대, 클래식 [냥/3] ? 아이팟
화상 채팅, 캠, 2000년대 초반, 셀카, 흑역사, PC방 [효니효니/3] ? 하두리
네스퀵, 바나나OO, 딸기00, 초코00, 시리얼, 미숫가루 [헬로키티/2] ? 우유
SBS, 예능 프로그램, 김종국, 김희철, 신동엽, 미우새 [SmarticLuna/6] ? 미운우리새끼
6명, 스파이크, 김연경, 올림픽 종목, 오버네트, 리베로 [연상퀴즈/2] ? 배구
도토리, 비영승보, 헬파이어, 승급, 출두, 부여 [희망/5] ? 바람의나라
세레나, 블레어, 네이트, 척, 이구역의미친X, 댄 [소근/3] ? 가십걸
애빼시, 마상, 엄근진, 갑분싸, 아아, 빼박 [헬로키티/3] ? 줄임말
중증외상센터, 국군대전병원장, 아주대외상센터장, 의료계영웅, 탈조선, 이번생은망했습니다 [로나최고/3] ? 이국종
라이오스, 레드드래곤, 던전, 요리, 마물, 쿠이료코 [쿠얘/3] ? 던전밥
이바보, 아름다운그대에게, Rewind, OPPA, R.E.A.L, Girls Grils (주하/4] ? 원더걸스
단풍잎, 은행잎, 가을, 나무, 책갈피, 청소 [임진록2/2] ? 낙엽
가기싫음, 퇴근후, 부장님옆자리, 술, 회사, 전선약이있어서 [롱패딩/2] ? 회식
매운맛, 빨강, 찌개, 밥, 배추, 한국 [현석/2] ? 김치
경찰, 의사, 시민, 밤, 낮, 투표 [모나리자/3] ? 마피아
라이터를 켜라, 기억의 밤, 리바운드, 오픈 더 도어, 말티즈, 김은희 [뭉밍/3] ? 장항준
박서준, 박보영, 이병헌, 아파트, 폐혀, 반전 [오마이갓스/8] ? 콘크리트유토피아
조, 메그, 베스, 남지현, 김고은, 700억 [뭉밍/5] ? 작은아씨들
울릉도, 독도, 지증왕, 이사부, 해적의 침입, 고려 이주 [임진록2/3] ? 우산국
요정 대모, 12시, 유리구두, 호박, 다락방, 드레스 [얌얌/4] ? 신데렐라
백댄서 출신, 코요태, 1박 2일, 가락국수 낙오, 가능한, 우연히 [런닝버디/3] ? 김종민
떡, 명필, 어머니, 글과 떡썰기, 한호, 서예가 [헬로키티/3] ? 한석봉

